iteration, interface_residual
1, 1.000000000000000e+00
2, 9.962537860039832e-01
3, 3.312542488227900e-01
4, 1.415604611474257e-01
5, 6.585395523697694e-02
6, 3.175795777893575e-02
7, 1.557223682044906e-02
8, 7.697028908931098e-03
9, 3.819403222534232e-03
10, 1.898924004736685e-03
11, 9.450094980482387e-04
12, 4.705132286718301e-04
13, 2.343206617734715e-04
14, 1.167080182517526e-04
15, 5.813215514888855e-05
16, 2.895642586328254e-05
17, 1.442380706282620e-05
18, 7.184856394811146e-06
19, 3.578968982417305e-06
20, 1.782783650191802e-06
21, 8.880549164498091e-07
