iteration,interface_residual
1,1.000000000000000e+00
2,5.000000000000000e-01
3,2.500000000000000e-01
4,1.250000000000000e-01
5,6.250000000000000e-02
6,3.125000000000000e-02
7,1.562500000000000e-02
8,7.812500000000000e-03
9,3.906250000000000e-03
10,1.953125000000000e-03
11,9.765625000000000e-04
12,4.882812500000000e-04
13,2.441406250000000e-04
14,1.220703125000000e-04
15,6.103515625000000e-05
16,3.051757812500000e-05
17,1.525878906250000e-05
18,7.629394531250000e-06
19,3.814697265625000e-06
20,1.907348632812500e-06
