iteration,interface_residual
2,2.0687324525856408
3,3.176406038300895
4,1.7832683179025819
5,0.88814084515104874
6,0.67657505145311869
7,0.46385554961925962
8,0.27418526200545185
9,0.29555509013432368
10,0.21854313090613456
11,0.10490433868393041
12,0.078686228535249078
13,0.059584739983712748
14,0.033083208068141225
15,0.021446712437057792
16,0.017587526607523853
17,0.01137410098147589
18,0.0057465095691794157
19,0.0049665463857691923
20,0.0036274146912685218
21,0.0018757565278340737
22,0.0014345294095710974
23,0.0010944170392577415
24,0.00062730664966245556
25,0.00037843826060685883
26,0.00030823579788934945
27,0.00020726578772570337
28,0.00010763353028609407
29,8.6877100931010405e-05
30,6.3666251797244401e-05
31,3.563085484153205e-05
32,2.369861384788744e-05
33,1.812731800293206e-05
34,1.1649198469094766e-05
35,6.610473090707359e-06
36,4.9509235950331711e-06
37,3.5043800325645172e-06
38,2.1222515357695142e-06
39,1.3676867061288366e-06
40,9.7642067380875236e-07
